_id,name,url,street_address,city,state,zip_code,country,phone_number,open_hours,latitude,longitude,Open/Closed,Pharmacy Open,Online Grocery Pickup Service Offered,Online Grocery Pickup Status,Grocery Delivery Service Offered,Grocery Delivery Service Status
64db2305ffa6d4b980a3f369,Tahlequah Supercenter,https://www.walmart.com/store/10/tahlequah-ok/details,2020 S Muskogee Ave,Tahlequah,OK,74464,US,918-456-8804,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",35.888765,-94.979859,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f36a,Mountain Home Supercenter,https://www.walmart.com/store/11/mountain-home-ar/details,65 Wal Mart Dr,Mountain Home,AR,72653,US,870-492-9299,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.3549565,-92.3410256,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f370,West Plains Supercenter,https://www.walmart.com/store/15/west-plains-mo/details,1310 Preacher Roe Blvd,West Plains,MO,65775,US,417-257-2800,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.714712,-91.870322,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f371,Sherwood Supercenter,https://www.walmart.com/store/7/sherwood-ar/details,9053 Highway 107,Sherwood,AR,72120,US,501-833-0972,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",34.838767,-92.236838,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f372,Harrison Supercenter,https://www.walmart.com/store/2/harrison-ar/details,161 N Walmart Dr,Harrison,AR,72601,US,870-365-8400,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.269042,-93.139074,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f375,Newport Supercenter,https://www.walmart.com/store/18/newport-ar/details,1211 Highway 367 N,Newport,AR,72112,US,870-523-2500,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00",35.618058,-91.254954,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f376,Morrilton Supercenter,https://www.walmart.com/store/8/morrilton-ar/details,1621 North Business 9,Morrilton,AR,72110,US,501-354-0290,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",35.168795,-92.726727,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f377,Neosho Supercenter,https://www.walmart.com/store/17/neosho-mo/details,3200 Lusk Dr,Neosho,MO,64850,US,417-451-5544,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.839161,-94.397282,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f379,Poplar Bluff Supercenter,https://www.walmart.com/store/19/poplar-bluff-mo/details,333 S Westwood Blvd,Poplar Bluff,MO,63901,US,573-686-6420,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",36.755728,-90.411818,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f37c,Jacksonville Supercenter,https://www.walmart.com/store/24/jacksonville-ar/details,2000 John Harden Dr,Jacksonville,AR,72076,US,501-985-8731,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",34.885098,-92.11255,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f37d,Leavenworth Supercenter,https://www.walmart.com/store/26/leavenworth-ks/details,5000 10th Ave,Leavenworth,KS,66048,US,913-250-0182,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",39.268764,-94.930386,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f37f,Mexico Supercenter,https://www.walmart.com/store/25/mexico-mo/details,4820 S Clark St,Mexico,MO,65265,US,573-581-4500,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",39.120508,-91.890515,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f381,Miami Supercenter,https://www.walmart.com/store/28/miami-ok/details,2415 N Main St,Miami,OK,74354,US,918-542-6654,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.904509,-94.880384,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f383,Poteau Supercenter,https://www.walmart.com/store/31/poteau-ok/details,3108 N Broadway St,Poteau,OK,74953,US,918-647-5040,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",35.094581,-94.628209,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f384,Branson Store,https://www.walmart.com/store/32/branson-mo/details,2050 W 76 Country Blvd,Branson,MO,65616,US,417-334-5005,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.639045,-93.259769,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f385,Manhattan Supercenter,https://www.walmart.com/store/35/manhattan-ks/details,101 Bluemont Ave,Manhattan,KS,66502,US,785-776-4897,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",39.188472,-96.556204,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f386,Nevada Supercenter,https://www.walmart.com/store/34/nevada-mo/details,2250 Lincoln Ave,Nevada,MO,64772,US,417-667-3630,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",37.832201,-94.326552,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f388,Paragould Supercenter,https://www.walmart.com/store/36/paragould-ar/details,2802 W Kingshighway,Paragould,AR,72450,US,870-236-9707,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.057305,-90.52294,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f38b,Bartlesville Supercenter,https://www.walmart.com/store/41/bartlesville-ok/details,4000 Se Green Country Rd,Bartlesville,OK,74006,US,918-335-6600,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.740695,-95.931584,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f38c,Fort Scott Supercenter,https://www.walmart.com/store/39/fort-scott-ks/details,2500 S Main St,Fort Scott,KS,66701,US,620-223-2867,"monday - friday : 06:00-01:00, saturday : 06:00-01:00, sunday : 06:00-01:00",37.807978,-94.708671,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f38e,Moberly Supercenter,https://www.walmart.com/store/40/moberly-mo/details,1301 E Highway 24,Moberly,MO,65270,US,660-263-3113,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",39.4476727,-92.4204522,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f390,Jefferson City Supercenter,https://www.walmart.com/store/29/jefferson-city-mo/details,724 Stadium West Blv,Jefferson City,MO,65109,US,573-635-8283,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",38.580049,-92.219907,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f391,Junction City Supercenter,https://www.walmart.com/store/43/junction-city-ks/details,521 E Chestnut St,Junction City,KS,66441,US,785-238-8229,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",39.018965,-96.820674,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f392,Bolivar Supercenter,https://www.walmart.com/store/46/bolivar-mo/details,2451 S Springfield Ave,Bolivar,MO,65613,US,417-326-8424,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",37.591722,-93.403975,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f395,Hot Springs Supercenter,https://www.walmart.com/store/52/hot-springs-ar/details,1601 Albert Pike Rd,Hot Springs,AR,71913,US,501-624-2498,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",34.490929,-93.089251,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f396,Vinita Supercenter,https://www.walmart.com/store/50/vinita-ok/details,268 S 7th St,Vinita,OK,74301,US,918-256-7505,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.631855,-95.140418,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f39b,Ava Supercenter,https://www.walmart.com/store/56/ava-mo/details,1309 Nw 12th Ave,Ava,MO,65608,US,417-683-4194,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",36.959408,-92.676527,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f39c,Russellville Supercenter,https://www.walmart.com/store/58/russellville-ar/details,2409 E Main St,Russellville,AR,72802,US,479-967-9777,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",35.280505,-93.105157,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f39e,Warrensburg Supercenter,https://www.walmart.com/store/61/warrensburg-mo/details,301 E Cooper St,Warrensburg,MO,64093,US,660-747-1505,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",38.781105,-93.735334,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f39f,Troy Supercenter,https://www.walmart.com/store/60/troy-mo/details,101 Highway 47 E,Troy,MO,63379,US,636-528-8901,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",38.988635,-90.982017,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f3a0,Walnut Ridge Store,https://www.walmart.com/store/57/walnut-ridge-ar/details,1600 W Main St,Walnut Ridge,AR,72476,US,870-886-6605,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",36.07663,-90.97439,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f3a2,Blytheville Supercenter,https://www.walmart.com/store/62/blytheville-ar/details,3700 E Highway 18,Blytheville,AR,72315,US,870-763-0440,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",35.931083,-89.872175,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f3a3,Wynne Supercenter,https://www.walmart.com/store/68/wynne-ar/details,800 Highway 64 E,Wynne,AR,72396,US,870-238-8129,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",35.253427,-90.777454,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f3a4,Brownsville Supercenter,https://www.walmart.com/store/64/brownsville-tn/details,1100 S Dupree Ave,Brownsville,TN,38012,US,731-772-9551,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",35.5867,-89.238093,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f3a6,Mena Supercenter,https://www.walmart.com/store/67/mena-ar/details,600 Highway 71 N,Mena,AR,71953,US,479-394-0025,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",34.588589,-94.225872,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f3a7,Sullivan Supercenter,https://www.walmart.com/store/65/sullivan-mo/details,350 Park Ridge Rd,Sullivan,MO,63080,US,573-468-7030,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",38.22075,-91.154792,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f3a8,Festus Supercenter,https://www.walmart.com/store/69/festus-mo/details,650 S Truman Blvd,Festus,MO,63028,US,636-937-8441,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",38.211942,-90.387955,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f3ae,Wagoner Supercenter,https://www.walmart.com/store/63/wagoner-ok/details,410 S Dewey Ave,Wagoner,OK,74467,US,918-485-9515,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",35.95667,-95.397539,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f3b0,Taylor Supercenter,https://www.walmart.com/store/77/taylor-tx/details,3701 N Main St,Taylor,TX,76574,US,512-352-5505,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",30.598559,-97.418418,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f3b1,Marshfield Supercenter,https://www.walmart.com/store/78/marshfield-mo/details,14740 State Hwy #38,Marshfield,MO,65706,US,417-468-6116,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",37.337928,-92.939632,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f3b2,Columbia Supercenter,https://www.walmart.com/store/80/columbia-mo/details,3001 W Broadway,Columbia,MO,65203,US,573-445-9506,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",38.957069,-92.382341,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f3b6,Magnolia Supercenter,https://www.walmart.com/store/83/magnolia-ar/details,60 Highway 79 N,Magnolia,AR,71753,US,870-234-7800,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",33.276653,-93.212017,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f3b8,Benton Supercenter,https://www.walmart.com/store/85/benton-ar/details,17309 Interstate 30 S,Benton,AR,72015,US,501-860-6135,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",34.577533,-92.580065,Open,Yes,Yes,Available,Yes,Available
64db2305ffa6d4b980a3f3b9,Springfield Supercenter,https://www.walmart.com/store/86/springfield-mo/details,2825 N Kansas Expy,Springfield,MO,65803,US,417-865-8865,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",37.248775,-93.313985,Open,Yes,Yes,Available,Yes,Available
